iter,train_loss,val_loss,lr,tokens_per_sec,iter_ms
0,10.871852,10.873960,6.000000e-07,,
0,10.870381,,6.000000e-07,13108.0,9999.40
10,10.405080,,6.600000e-06,2489.4,52652.33
0,10.879092,,1.500000e-06,69990.0,468.18
5,10.525759,,9.000000e-06,20537.7,1595.51
10,10.046535,,1.650000e-05,20964.5,1563.02
15,9.740685,,2.400000e-05,21237.1,1542.96
20,9.531275,,3.150000e-05,21360.0,1534.08
25,9.344655,,3.900000e-05,21447.4,1527.83
30,9.090962,,4.650000e-05,21514.1,1523.09
35,8.820182,,5.400000e-05,21484.4,1525.20
40,8.547258,,6.150000e-05,21405.8,1530.80
45,8.203774,,6.900000e-05,21513.0,1523.17
50,7.890173,,7.650000e-05,21475.6,1525.83
55,7.527626,,8.400000e-05,21091.0,1553.65
60,7.180812,,9.150000e-05,21409.2,1530.56
65,6.799546,,9.900000e-05,20423.3,1604.44
70,6.507301,,1.065000e-04,21171.4,1547.74
75,6.184906,,1.140000e-04,21399.5,1531.25
80,5.912979,,1.215000e-04,21194.4,1546.07
85,5.627647,,1.290000e-04,20985.8,1561.44
90,5.418560,,1.365000e-04,21540.6,1521.22
95,5.157224,,1.440000e-04,21526.2,1522.24
100,5.058616,,1.515000e-04,21377.7,1532.81
105,4.912196,,1.590000e-04,21415.7,1530.10
110,4.709374,,1.665000e-04,21357.8,1534.24
115,4.645061,,1.740000e-04,21479.1,1525.58
120,4.504655,,1.815000e-04,21480.1,1525.51
125,4.413136,,1.890000e-04,21390.6,1531.89
130,4.407891,,1.965000e-04,21401.7,1531.09
135,4.270986,,2.040000e-04,21386.9,1532.15
140,4.225113,,2.115000e-04,21515.2,1523.01
145,4.187822,,2.190000e-04,21521.3,1522.58
150,4.157957,,2.265000e-04,21421.5,1529.68
155,4.056373,,2.340000e-04,21277.2,1540.05
160,3.996425,,2.415000e-04,20881.6,1569.23
165,3.943375,,2.490000e-04,21450.0,1527.65
170,3.829681,,2.565000e-04,21404.7,1530.88
175,3.855830,,2.640000e-04,21275.9,1540.14
180,3.806920,,2.715000e-04,21257.0,1541.52
185,3.754475,,2.790000e-04,21039.2,1557.48
190,3.737947,,2.865000e-04,21466.3,1526.49
195,3.711525,,2.940000e-04,21469.6,1526.25
200,3.645684,,3.000000e-04,21447.5,1527.82
205,3.631361,,2.999993e-04,21402.5,1531.03
210,3.544639,,2.999971e-04,21487.3,1524.99
215,3.576439,,2.999935e-04,21335.8,1535.83
220,3.482161,,2.999884e-04,21366.2,1533.64
225,3.414329,,2.999819e-04,21490.2,1524.79
230,3.469639,,2.999740e-04,21050.7,1556.62
235,3.445880,,2.999646e-04,21196.2,1545.94
240,3.390262,,2.999537e-04,21136.7,1550.29
245,3.396724,,2.999415e-04,21442.6,1528.17
250,3.256086,3.282811,2.999277e-04,,
250,3.342332,,2.999277e-04,6933.8,4725.82
255,3.238598,,2.999125e-04,20958.6,1563.46
260,3.278083,,2.998959e-04,21027.2,1558.36
265,3.254713,,2.998779e-04,21119.9,1551.52
270,3.202782,,2.998583e-04,21295.7,1538.72
275,3.148139,,2.998374e-04,21427.3,1529.27
280,3.185334,,2.998150e-04,21425.8,1529.37
285,3.141391,,2.997911e-04,21314.7,1537.34
290,3.109293,,2.997659e-04,21333.7,1535.97
295,3.150391,,2.997391e-04,21286.8,1539.36
300,3.147287,,2.997110e-04,21387.2,1532.13
305,3.057620,,2.996813e-04,20536.8,1595.58
310,3.113377,,2.996503e-04,21101.8,1552.86
315,3.034076,,2.996178e-04,21401.7,1531.09
320,2.978916,,2.995838e-04,21258.8,1541.38
325,2.993764,,2.995485e-04,21441.4,1528.26
330,2.964579,,2.995116e-04,21347.5,1534.98
335,2.943438,,2.994734e-04,21353.8,1534.53
340,2.956678,,2.994337e-04,21408.4,1530.61
345,2.969194,,2.993925e-04,21439.4,1528.40
350,2.916336,,2.993499e-04,21412.4,1530.33
355,2.963935,,2.993059e-04,21401.8,1531.09
360,2.904666,,2.992605e-04,21139.4,1550.09
365,2.856383,,2.992136e-04,21079.0,1554.53
370,2.882430,,2.991652e-04,21407.9,1530.65
375,2.819688,,2.991155e-04,21355.3,1534.42
380,2.881400,,2.990642e-04,19244.9,1702.68
385,2.842469,,2.990116e-04,18881.7,1735.44
390,2.771467,,2.989575e-04,18981.0,1726.36
395,2.777033,,2.989020e-04,18913.2,1732.55
400,2.812850,,2.988451e-04,19002.5,1724.41
405,2.750068,,2.987867e-04,19045.6,1720.50
410,2.776454,,2.987269e-04,18831.7,1740.05
415,2.755084,,2.986656e-04,18652.7,1756.74
420,2.728808,,2.986029e-04,19147.2,1711.37
425,2.727398,,2.985388e-04,19166.3,1709.66
430,2.755133,,2.984733e-04,19346.4,1693.75
435,2.753866,,2.984063e-04,19480.3,1682.11
440,2.713322,,2.983379e-04,19443.0,1685.34
445,2.705013,,2.982681e-04,19367.1,1691.94
450,2.624269,,2.981968e-04,19377.9,1691.00
455,2.664014,,2.981242e-04,19412.4,1687.99
460,2.671382,,2.980501e-04,19420.9,1687.26
465,2.669461,,2.979745e-04,19452.8,1684.49
470,2.655415,,2.978976e-04,19071.4,1718.17
475,2.657754,,2.978192e-04,19153.3,1710.83
480,2.635800,,2.977394e-04,19431.3,1686.35
485,2.586226,,2.976582e-04,19409.1,1688.28
490,2.650167,,2.975756e-04,19371.2,1691.58
495,2.688201,,2.974915e-04,19247.3,1702.48
500,2.536109,2.517687,2.974060e-04,,
500,2.570552,,2.974060e-04,6041.5,5423.86
505,2.600199,,2.973191e-04,19016.0,1723.18
510,2.570816,,2.972308e-04,19240.7,1703.05
515,2.529307,,2.971411e-04,19130.7,1712.85
520,2.545112,,2.970499e-04,18766.0,1746.14
525,2.538153,,2.969574e-04,19157.1,1710.49
530,2.544887,,2.968634e-04,19342.8,1694.07
535,2.563827,,2.967680e-04,19433.8,1686.14
540,2.508815,,2.966712e-04,19407.0,1688.46
545,2.459755,,2.965730e-04,19191.0,1707.46
550,2.510835,,2.964734e-04,19081.9,1717.23
555,2.525200,,2.963724e-04,19674.8,1665.48
560,2.477274,,2.962699e-04,19680.4,1665.01
565,2.484753,,2.961661e-04,19297.0,1698.09
570,2.490869,,2.960609e-04,19271.9,1700.30
575,2.457572,,2.959542e-04,18959.3,1728.33
580,2.473812,,2.958462e-04,18073.7,1813.02
585,2.464512,,2.957367e-04,19583.2,1673.27
590,2.478075,,2.956259e-04,19531.5,1677.70
595,2.487682,,2.955136e-04,19540.0,1676.97
600,2.453319,,2.954000e-04,19563.4,1674.97
605,2.508231,,2.952849e-04,19644.5,1668.05
610,2.486128,,2.951685e-04,18907.6,1733.06
615,2.484201,,2.950507e-04,19291.1,1698.60
620,2.449051,,2.949315e-04,19675.6,1665.41
625,2.373033,,2.948108e-04,19670.4,1665.86
630,2.449107,,2.946888e-04,19595.0,1672.27
635,2.427193,,2.945654e-04,19269.1,1700.55
640,2.341886,,2.944407e-04,18291.2,1791.47
645,2.455613,,2.943145e-04,19635.8,1668.79
